movie	title_year	duration	gross	imdb_score	budget
Oldboy 	2003	120	2181290	8.4	3000000
Oliver Twist 	2005	130	1987287	6.9	50000000
Oliver! 	1968	153	16800000	7.5	10000000
Olympus Has Fallen 	2013	119	98895417	6.5	70000000
On Deadly Ground 	1994	101	38590500	4.4	50000000
On Her Majesty's Secret Service 	1969	142	22800000	6.8	7000000
On the Downlow 	2004	84		6.1	
On the Line 	2001	85	4356743	4.1	16000000
On the Outs 	2004	86		6.9	
On the Road 	2012	137	717753	6.1	25000000
On the Waterfront 	1954	108	9600000	8.2	910000
Once 	2007	85	9437933	7.9	180000
Once in a Lifetime: The Extraordinary Story of the New York Cosmos 	2006	97	144431	7.3	1000000
Once Upon a Time in America 	1984	251	5300000	8.4	30000000
Once Upon a Time in Mexico 	2003	102	55845943	6.4	29000000
Once Upon a Time in Queens 	2013	98		6.3	1500000
Once Upon a Time in the West 	1968	145		8.6	5000000
Ondine 	2009	111	548934	6.8	12000000
One Day 	2011	107	13766014	7	15000000
One Direction: This Is Us 	2013	106	28873374	4.1	10000000
One Flew Over the Cuckoo's Nest 	1975	133	112000000	8.7	4400000
One for the Money 	2012	91	26404753	5.3	40000000
One Hour Photo 	2002	96	31597131	6.8	12000000
One Man's Hero 	1999	121	229311	6.2	11350000
One Missed Call 	2008	87	26876529	3.9	27000000
One Night with the King 	2006	123	13391174	6.3	20000000
One to Another 	2006	95	18435	5.8	1400000
One True Thing 	1998	127	23209440	7	30000000
Ong-bak 2 	2008	110	102055	6.2	300000000
Only God Forgives 	2013	90	778565	5.7	4800000
Only the Strong 	1993	99	3273588	6.7	6000000
Opal Dream 	2006	86	13751	6.6	11400000
Open Range 	2003	139	58328680	7.5	22000000
Open Road 	2013	85		5.5	3000000
Open Season 	2006	83	84303558	6.2	85000000
Open Secret 	1948	68		7.1	
Open Water 	2003	79	30500882	5.7	500000
Operation Chromite 	2016	115	31662	6.8	12620000
Ordet 	1955	126		8.1	
Ordinary People 	1980	124	54800000	7.8	6000000
Orgazmo 	1997	92	582024	6.2	1000000
Original Sin 	2001	118	16252765	6	42000000
Orphan 	2009	123	41573740	7	
Osama 	2003	83	1127331	7.4	46000
Oscar and Lucinda 	1997	132	1508689	6.7	16000000
Osmosis Jones 	2001	95	13596911	6.2	70000000
Ouija 	2014	89	50820940	4.4	5000000
Our Brand Is Crisis 	2015	107	6998324	6.1	28000000
Our Family Wedding 	2010	103	20246959	4.9	14000000
Our Idiot Brother 	2011	90	24809547	6.4	5000000
Our Kind of Traitor 	2016	108	3108216	6.4	
Out Cold 	2001	89	13903262	6.3	11000000
Out of Africa 	1985	161	87100000	7.2	31000000
Out of Inferno 	2013	107		5.7	
Out of Sight 	1998	123	37339525	7	48000000
Out of the Blue 	1980	94		7.2	2200000
Out of the Blue 	2006	100	728	7.3	
Out of the Dark 	2014	92		4.7	
Out of the Furnace 	2013	116	11326836	6.8	22000000
Out of Time 	2003	114	40905277	6.5	50000000
Outbreak 	1995	127	67823573	6.6	50000000
Outlander             		64		8.5	
Outside Bet 	2012	101		4.8	7500000
Outside Providence 	1999	96	7292175	6.4	7000000
Over Her Dead Body 	2008	95	7563670	5.2	10000000
Over the Hedge 	2006	83	155019340	6.8	80000000
Over the Hill to the Poorhouse 	1920	110	3000000	4.8	100000
Owning Mahowny 	2003	104	1011054	7.2	10000000
Oz the Great and Powerful 	2013	130	234903076	6.4	215000000
Oz the Great and Powerful 	2013	130	234903076	6.4	215000000
P.S. I Love You 	2007	126	53680848	7.1	30000000
Paa 	2009	133	199228	7.2	150000000
Pacific Rim 	2013	131	101785482	7	190000000
Paddington 	2014	95	76137505	7.2	55000000
Pain & Gain 	2013	129	49874933	6.5	26000000
Paint Your Wagon 	1969	158		6.7	20000000
Pale Rider 	1985	115	41400000	7.3	6900000
Palo Alto 	2013	100	750100	6.3	
Pan 	2015	111	34964818	5.8	150000000
Pan 	2015	111	34964818	5.8	150000000
Pan 	2015	111	34964818	5.8	150000000
Pandaemonium 	2000	124		6.6	15000000
Pandora's Box 	1929	110	9950	8	
Pandorum 	2009	108	10326062	6.8	33000000
Panic Room 	2002	112	95308367	6.8	48000000
Pan's Labyrinth 	2006	112	37623143	8.2	13500000
Paparazzi 	2004	84	15712072	5.8	20000000
Paper Towns 	2015	109	31990064	6.4	12000000
Paranormal Activity 	2007	84	107917283	6.3	15000
Paranormal Activity 2 	2010	98	84749884	5.7	3000000
Paranormal Activity 3 	2011	94	104007828	5.8	5000000
Paranormal Activity 4 	2012	96	53884821	4.6	5000000
Paranormal Activity: The Marked Ones 	2014	101	32453345	5	5000000
ParaNorman 	2012	92	55994557	7	60000000
Parental Guidance 	2012	105	77264926	6.1	25000000
"Paris, je t'aime "	2006	120	4857376	7.3	13000000
Parker 	2013	118	17609982	6.2	35000000
Partition 	2007	116		7	10000000
Party Monster 	2003	98	296665	6.3	5000000
Passchendaele 	2008	114		6.5	20000000
Pat Garrett & Billy the Kid 	1973	106		7.4	4638783
Patch Adams 	1998	115	135014968	6.7	50000000
Pathology 	2008	95	108662	6	8000000
Patriot Games 	1992	117	83287363	6.9	45000000
Patton 	1970	172		8	12000000
Paul 	2011	109	37371385	7	40000000
Paul Blart: Mall Cop 	2009	91	20819129	5.2	26000000
Paul Blart: Mall Cop 2 	2015	94	71038190	4.4	30000000
Pay It Forward 	2000	123	33508922	7.2	40000000
Payback 	1999	90	81517441	7.1	50000000
Paycheck 	2003	119	53789313	6.3	60000000
PCU 	1994	79	4350774	6.5	8000000
"Peace, Propaganda & the Promised Land "	2004	80		8.3	70000
Peaceful Warrior 	2006	120	1055654	7.3	10000000
Pearl Harbor 	2001	184	198539855	6.1	140000000
Peeples 	2013	95	9123834	5.3	15000000
Peggy Sue Got Married 	1986	103	41382841	6.3	18000000
Penguins of Madagascar 	2014	92	83348920	6.7	132000000
Penitentiary 	1979	99		5.8	100000
People I Know 	2002	100	121972	5.5	22000000
Perception             		42		7.5	
Percy Jackson & the Olympians: The Lightning Thief 	2010	118	88761720	5.9	95000000
Percy Jackson: Sea of Monsters 	2013	106	68558662	5.9	90000000
Perfect Cowboy 	2014	109		7	200000
Perfume: The Story of a Murderer 	2006	147	2208939	7.5	50000000
Perrier's Bounty 	2009	88	828	6.4	
Persepolis 	2007	89	4443403	8	7300000
Pet Sematary 	1989	103	57469179	6.6	11500000
Pete's Dragon 	2016	102		7.3	65000000
Phantasm II 	1988	97	7282851	6.5	3000000
Phat Girlz 	2006	99	7059537	3	3000000
Phenomenon 	1996	123	104632573	6.4	32000000
Philadelphia 	1993	125	77324422	7.7	26000000
Philomena 	2013	98	37707719	7.6	12000000
Phone Booth 	2002	81	46563158	7.1	13000000
Pi 	1998	84	3216970	7.5	60000
Pieces of April 	2003	80	2360184	7.1	300000
Pierrot le Fou 	1965	110		7.7	300000
Pineapple Express 	2008	117	87341380	7	27000000
Pink Flamingos 	1972	108	180483	6.1	10000
Pink Narcissus 	1971	65	8231	6.7	27000
"Pink Ribbons, Inc. "	2011	97	24784	7.4	1200000
Pinocchio 	1940	88	84300000	7.5	2600000
Piranha 3D 	2010	88	25003072	5.5	24000000
Pirate Radio 	2009	135	7994115	7.4	
Pirates of the Caribbean: At World's End 	2007	169	309404152	7.1	300000000
Pirates of the Caribbean: Dead Man's Chest 	2006	151	423032628	7.3	225000000
Pirates of the Caribbean: On Stranger Tides 	2011	136	241063875	6.7	250000000
Pirates of the Caribbean: The Curse of the Black Pearl 	2003	143	305388685	8.1	140000000
Pitch Black 	2000	112	39235088	7.1	23000000
Pitch Perfect 	2012	112	64998368	7.2	17000000
Pitch Perfect 2 	2015	115	183436380	6.5	29000000
Pixels 	2015	106	78747585	5.6	88000000
Planet 51 	2009	91	42194060	6.1	70000000
Planet of the Apes 	2001	119	180011740	5.7	100000000
Planet of the Apes 	2001	119	180011740	5.7	100000000
Plastic 	2014	102		6	10000000
Platoon 	1986	120	137963328	8.1	6000000
Play It to the Bone 	1999	124	8427204	5.4	24000000
Playing for Keeps 	2012	105	13101142	5.7	35000000
Please Give 	2010	90	4033268	6.6	
Plush 	2013	99	2843	5.4	
Pocahontas 	1995	84	141600000	6.6	55000000
Pocketful of Miracles 	1961	136		7.3	2900000
Poetic Justice 	1993	109	27515786	5.9	14000000
Point Blank 	1967	92		7.4	3000000
Point Break 	2015	114	28772222	5.3	105000000
Point Break 	2015	114	28772222	5.3	105000000
Pok mon 3: The Movie 	2000	93		5.6	16000000
Police Academy 	1984	96	81200000	6.7	4500000
Police Academy: Mission to Moscow 	1994	83	126247	3.3	6200000
Polisse 	2011	127	171320	7.3	
Pollock 	2000	122	8596914	7	6000000
Poltergeist 	1982	120	76600000	7.4	10700000
Poltergeist 	1982	120	76600000	7.4	10700000
Poltergeist III 	1988	98	14114488	4.5	10500000
Pompeii 	2014	105	23219748	5.6	80000000
Pontypool 	2008	95	3478	6.7	1500000
Ponyo 	2008	101	15081783	7.7	34000000
Pooh's Heffalump Movie 	2005	68	18081626	6.4	20000000
Poolhall Junkies 	2002	99	562059	7	4000000
Pootie Tang 	2001	81	3293258	5.2	3000000
Porky's 	1981	94	105500000	6.2	4000000
Poseidon 	2006	98	60655503	5.6	160000000
Post Grad 	2009	88	6373693	5.3	15000000
Poultrygeist: Night of the Chicken Dead 	2006	103	23000	6.2	500000
Pound of Flesh 	2015	104		5.1	7500000
Practical Magic 	1998	104	46611204	6.1	48000000
Preacher             		60		8.3	
Precious 	2009	109	47536959	7.3	10000000
Precious 	2009	109	47536959	7.3	10000000
Predator 	1987	107	59735548	7.8	15000000
Predator 2 	1990	103	30669413	6.2	35000000
Predators 	2010	107	52000688	6.4	40000000
Prefontaine 	1997	106	532190	6.8	8000000
Premium Rush 	2012	91	20275446	6.5	35000000
Premonition 	2007	96	47852604	5.9	20000000
Pretty Woman 	1990	125	178406268	6.9	14000000
Pride & Prejudice 	2005	135	38372662	7.8	28000000
Pride and Glory 	2008	130	15709385	6.7	30000000
Pride and Prejudice and Zombies 	2016	108	10907291	5.8	28000000
Priest 	2011	87	29136626	5.7	60000000
Primary Colors 	1998	143	38966057	6.7	65000000
Primer 	2004	77	424760	7	7000
Prince of Persia: The Sands of Time 	2010	116	90755643	6.6	200000000
Princess Kaiulani 	2009	97	883887	6.2	9000000
Princess Mononoke 	1997	134	2298191	8.4	2400000000
Prison 	1987	102	354704	5.9	1300000
Prisoners 	2013	153	60962878	8.1	46000000
Private Benjamin 	1980	109	69800000	6.1	10000000
Project Almanac 	2015	106	22331028	6.4	12000000
Project X 	2012	93	54724272	6.7	12000000
Prom 	2011	104	10106233	5.4	8000000
Prom Night 	2008	89	43818159	3.9	20000000
Prometheus 	2012	124	126464904	7	130000000
Promised Land 	2012	106	7556708	6.6	15000000
Proof of Life 	2000	135	32598931	6.2	65000000
Prophecy 	1979	102		5.4	12000000
Proud 	2004	87		5.8	1000000
Psych             		44		8.4	
Psycho 	1960	108	32000000	8.5	806947
Psycho Beach Party 	2000	85	265107	6.3	1500000
Public Enemies 	2009	140	97030725	7	100000000
Pulp Fiction 	1994	178	107930000	8.9	8000000
Pulse 	2006	90	20259297	4.7	20000000
Punch-Drunk Love 	2002	95	17791031	7.3	25000000
Punisher: War Zone 	2008	103	7948159	6	35000000
Purple Violets 	2007	103		6.6	4000000
Pushing Tin 	1999	124	8406264	6	38000000
Puss in Boots 	2011	90	149234747	6.7	130000000
Q 	2011	103		5.6	1500000
Quantum of Solace 	2008	106	168368427	6.7	200000000
Quarantine 	2008	89	31691811	6	12000000
Quartet 	2012	98	18381787	6.8	11000000
Queen Crab 	2015	80		4.5	75000
Queen of the Damned 	2002	101	30307804	5.2	35000000
Queen of the Mountains 	2014	135		8.7	1400000
Quest for Fire 	1981	100		7.4	12500000
Quigley Down Under 	1990	119	21413105	6.8	20000000
Quills 	2000	124	7060876	7.4	13500000
Quincea era 	2006	90	1689999	7.1	400000
Quo Vadis 	1951	171		7.2	7623000
R.I.P.D. 	2013	96	33592415	5.6	130000000
R.L. Stine's Monsterville: The Cabinet of Souls 	2015	85		5.9	4400000
R100 	2013	99	22770	6.1	5500000
Rabbit Hole 	2010	91	2221809	7	5000000
Rabbit-Proof Fence 	2002	94	6165429	7.5	6000000
Race 	2016	134	19097994	7.1	
Race to Witch Mountain 	2009	98	67128202	5.7	65000000
Rachel Getting Married 	2008	113	12796277	6.7	
Racing Stripes 	2005	102	49186871	5.2	
Radio 	2003	109	52277485	6.9	35000000
Radio Days 	1987	88	14792779	7.6	16000000
Radio Flyer 	1992	114	4651977	6.9	35000000
Raging Bull 	1980	121	45250	8.3	18000000
Raiders of the Lost Ark 	1981	115	242374454	8.5	18000000
Rain Man 	1988	133	172825435	8	25000000
Raise the Titanic 	1980	119	7000000	4.7	36000000
Raise Your Voice 	2004	103	10411980	5.9	15000000
Raising Cain 	1992	91	21370057	6	12000000
Raising Helen 	2004	119	37486138	6	50000000
Raising Victor Vargas 	2002	88	2073984	7.2	800000
Ramanujan 	2014	153		7	
Rambo III 	1988	87	53715611	5.7	63000000
Rambo: First Blood Part II 	1985	96	150415432	6.4	44000000
Ramona and Beezus 	2010	103	26161406	6.7	15000000
Rampage 	2009	80		6.3	
Random Hearts 	1999	133	31054924	5.1	64000000
Rang De Basanti 	2006	157	2197331	8.4	
Rango 	2011	107	123207194	7.2	135000000
Ransom 	1996	139	136448821	6.6	80000000
Rapa Nui 	1994	107	305070	6.4	20000000
Rat Race 	2001	112	56607223	6.4	48000000
Ratatouille 	2007	111	206435493	8	150000000
Ravenous 	1999	101	2060953	7.1	12000000
Ray 	2004	178	75305995	7.7	40000000
Raymond Did It 	2011	83		3.2	40000
Ready to Rumble 	2000	107	12372410	5.3	24000000
Real Steel 	2011	127	85463309	7.1	110000000
Real Women Have Curves 	2002	90	5844929	7	3000000
Rebecca 	1940	130		8.2	1288000
Recess: School's Out 	2001	82	36696761	6.5	23000000
RED 	2010	111	90356857	7.1	58000000
RED 2 	2013	116	53215979	6.7	84000000
Red Cliff 	2008	150	626809	7.4	553632000
Red Dawn 	1984	114		6.4	16900000
Red Dog 	2011	92		7.5	8500000
Red Dragon 	2002	124	92930005	7.2	78000000
Red Eye 	2005	85	57859105	6.5	26000000
Red Lights 	2012	114		6.2	14000000
Red Planet 	2000	106	17473245	5.7	70000000
Red Riding Hood 	2011	100	37652565	5.4	42000000
Red Riding: In the Year of Our Lord 1974 	2009	102		7.1	
Red River 	1948	126		7.8	3000000
Red Sky 	2014	100		4.1	25000000
Red Sonja 	1985	89		5	17900000
Red State 	2011	88		6.2	4000000
Red Tails 	2012	125	49875589	5.9	58000000
Redacted 	2007	90	65087	6.2	5000000
Redbelt 	2008	99	2344847	6.8	7000000
Redemption Road 	2010	95	27012	5.9	
Reds 	1981	195		7.5	35000000
Regression 	2015	106	54734	5.7	
Reign of Assassins 	2010	117		6.9	12000000
Reign of Fire 	2002	101	43060566	6.2	60000000
Reign Over Me 	2007	124	19661987	7.5	20000000
Reindeer Games 	2000	124	23360779	5.7	34000000
Re-Kill 	2015	88		5.1	9500000
Religulous 	2008	101	12995673	7.7	2500000
Remember Me 	2010	113	19057024	7.2	16000000
"Remember Me, My Love "	2003	125	223878	6.5	5000000
Remember the Titans 	2000	120	115648585	7.8	30000000
Renaissance 	2006	105	63260	6.7	14000000
Renaissance Man 	1994	128	24332324	6.1	40000000
Rendition 	2007	122	9664316	6.8	27500000
Reno 911!: Miami 	2007	84	20339754	5.9	10000000
Rent 	2005	135	29077547	7	40000000
Repo Man 	1984	92		6.9	1500000
Repo Men 	2010	119	13763130	6.3	32000000
Repo! The Genetic Opera 	2008	150	140244	6.7	8500000
Requiem for a Dream 	2000	102	3609278	8.4	4500000
Rescue Dawn 	2006	120	5484375	7.3	10000000
Reservoir Dogs 	1992	99	2812029	8.4	1200000
Resident Evil 	2002	100	39532308	6.7	33000000
Resident Evil: Afterlife 	2010	97	60128566	5.9	60000000
Resident Evil: Apocalypse 	2004	98	50740078	6.2	45000000
Resident Evil: Extinction 	2007	94	50648679	6.3	45000000
Resident Evil: Retribution 	2012	96	42345531	5.4	65000000
Restless 	2012	180		7.2	
Restoration 	2016	92		4	
Resurrecting the Champ 	2007	112	3169424	6.8	13000000
Return of the Living Dead III 	1993	97		5.9	2000000
Return to Me 	2000	115	32662299	6.9	24000000
Return to Never Land 	2002	72	48423368	5.8	20000000
Return to Oz 	1985	109		6.7	25000000
Return to the Blue Lagoon 	1991	102	2807854	5.1	11000000
Revolution             		43		6.7	
Revolutionary Road 	2008	119	22877808	7.3	35000000
Ri hie Ri h 	1994	95	38087756	5.2	40000000
Richard III 	1995	104	2600000	7.5	6000000
Riddick 	2013	127	41997790	6.4	38000000
Ride Along 	2014	99	134141530	6.2	25000000
Ride Along 2 	2016	102	90835030	5.9	40000000
Ride with the Devil 	1999	148	630779	6.8	35000000
Riding Giants 	2004	105	2276368	7.9	
Riding in Cars with Boys 	2001	132	29781453	6.4	48000000
Righteous Kill 	2008	101	40076438	6	60000000
Rio 	2011	96	143618384	7	90000000
Rio 2 	2014	101	131536019	6.4	103000000
Ripley's Game 	2002	110		6.7	30000000
Rise of the Entrepreneur: The Search for a Better Way 	2014	52		8.2	450000
Rise of the Guardians 	2012	97	103400692	7.3	145000000
Rise of the Planet of the Apes 	2011	105	176740650	7.6	93000000
Risen 	2016	107	36874745	6.3	20000000
River's Edge 	1986	99	4600000	7.1	1900000
Rize 	2005	86	3278611	7.1	
Road Hard 	2015	98	105943	6.1	1500000
Road House 	1989	114	30050028	6.5	17000000
Road to Perdition 	2002	117	104054514	7.7	80000000
Road Trip 	2000	94	68525609	6.5	15600000
Roadside 	2013	81		4.1	
Roadside Romeo 	2008	93	55202	5.3	
Roar 	1981	102	2000000	6.4	17000000
Rob Roy 	1995	139	31600000	6.9	28000000
Robin and Marian 	1976	106		6.6	5000000
Robin Hood 	2010	156	105219735	6.7	200000000
Robin Hood: Prince of Thieves 	1991	155	165500000	6.9	48000000
RoboCop 	2014	117	58607007	6.2	100000000
RoboCop 	2014	117	58607007	6.2	100000000
RoboCop 3 	1993	104	10696210	3.9	23500000
Robot & Frank 	2012	89	3325638	7.1	2500000
Robot Chicken             		11		7.8	
Robots 	2005	91	128200012	6.3	75000000
Rock of Ages 	2012	136	38509342	5.9	75000000
Rock Star 	2001	105	16991902	6.2	57000000
Rockaway 	2007	90		4.6	2000000
Rocket Singh: Salesman of the Year 	2009	150		7.5	
RocknRolla 	2008	114	5694401	7.3	18000000
Rocky 	1976	145	117235247	8.1	960000
Rocky Balboa 	2006	139	70269171	7.2	24000000
Rodeo Girl 	2016	108		5.7	500000
Roger & Me 	1989	91	6706368	7.5	160000
Rogue             		50		6.8	
Role Models 	2008	101	67266300	6.9	28000000
Roll Bounce 	2005	112	17378977	6	
Rollerball 	2002	98	18990542	3	70000000
Romance & Cigarettes 	2005	105	540085	6.3	
Romantic Schemer 	2015			5.1	125000
Romeo + Juliet 	1996	120	46338728	6.8	14500000
Romeo Is Bleeding 	1993	100	3275585	6.6	11500000
Romeo Must Die 	2000	115	55973336	6.1	25000000
Ronin 	1998	122	41609593	7.3	55000000
Room 	2015	118	14677654	8.3	13000000
Rosemary's Baby 	1968	136		8	2300000
Rosewater 	2014	103	3093491	6.6	5000000
Rotor DR1 	2015	98		3.4	350000
Rounders 	1998	121	22905674	7.4	12000000
Royal Kill 	2009	90		3.2	350000
Rubber 	2010	82	98017	5.8	500000
Ruby in Paradise 	1993	114	1001437	7.2	800000
Rudderless 	2014	105	37440	7.5	5000000
Rugrats Go Wild 	2003	80	39399750	5.6	25000000
Rugrats in Paris: The Movie 	2000	78	76501438	6.1	30000000
Rules of Engagement             		22		7.3	
Rumble in the Bronx 	1995	89	32333860	6.7	7500000
Run All Night 	2015	114	26442251	6.6	50000000
Run Lola Run 	1998	81	7267324	7.8	3500000
"Run, Fatboy, Run "	2007	100	5998971	6.6	
"Run, Hide, Die "	2012	75		3.7	50000
Runaway Bride 	1999	116	152149590	5.5	70000000
Runner Runner 	2013	88	19316646	5.6	30000000
Running Forever 	2015	88		8.6	5000000
Running Scared 	2006	122	6855137	7.4	17000000
Running with Scissors 	2006	122	6754898	6.2	12000000
Rush 	2013	123	26903709	8.1	38000000
Rush Hour             		43		5.8	
Rush Hour 2 	2001	90	226138454	6.6	90000000
Rush Hour 3 	2007	91	140080850	6.2	140000000
Rushmore 	1998	93	17096053	7.7	9000000
Rust 	2010	95		5.7	250000
S.W.A.T. 	2003	117	116643346	6	80000000
Sabotage 	2014	109	10499968	5.7	35000000
Sabotage 	2014	109	10499968	5.7	35000000
"Sabrina, the Teenage Witch             "		22		6.6	3000000
Safe 	2012	94	17120019	6.5	30000000
Safe Haven 	2013	115	71346930	6.7	28000000
Safe House 	2012	115	126149655	6.8	85000000
Safe Men 	1998	88	21210	6.1	1000000
Safety Not Guaranteed 	2012	86	4007792	7	750000
Sahara 	2005	124	68642452	6	130000000
Saint John of Las Vegas 	2009	85	100669	5.8	3800000
Saint Ralph 	2004	98	795126	7.6	6000000
Saints and Soldiers 	2003	90	1310270	6.8	780000
Salt 	2010	101	118311368	6.4	110000000
Salvador 	1986	122		7.5	4500000
Salvation Boulevard 	2011	96	27445	5.3	9000000
Samsara 	2011	102	2601847	8.5	4000000
San Andreas 	2015	114	155181732	6.1	110000000
Sanctuary; Quite a Conundrum 	2012	82		5.4	200000
Sanctum 	2011	108	23070045	5.9	30000000
Sands of Iwo Jima 	1949	109		7.2	1000000
Sarah's Key 	2010	111	7691700	7.5	10000000
Sardaar Ji 	2015	141		6.6	3000000
Sausage Party 	2016	89		7.5	19000000
Savage Grace 	2007	97	434417	5.9	4600000
Savages 	2012	141	47307550	6.5	45000000
Save the Last Dance 	2001	112	91038276	6.1	13000000
Saved! 	2004	92	8786715	6.9	5000000
Saving Face 	2004	96	1186323	7.6	
Saving Grace             		60		7.5	
Saving Grace             		60		7.5	
Saving Mr. Banks 	2013	125	83299761	7.5	35000000
Saving Private Perez 	2011	105	1391770	6	
Saving Private Ryan 	1998	169	216119491	8.6	70000000
Saving Silverman 	2001	96	19351569	5.9	22000000
Saw 	2004	103	55153403	7.7	1200000
Saw 3D: The Final Chapter 	2010	90	45670855	5.6	20000000
Saw II 	2005	95	87025093	6.6	4000000
Saw III 	2006	121	80150343	6.2	10000000
Saw IV 	2007	96	63270259	5.9	10000000
Saw V 	2008	95	56729973	5.8	10800000
Saw VI 	2009	92	27669413	6	11000000
Say It Isn't So 	2001	95	5516708	4.9	25000000
Scarface 	1983	142	44700000	8.3	25000000
Scary Movie 2 	2001	83	71277420	5.2	45000000
Scary Movie 3 	2003	84	110000082	5.5	48000000
Scary Movie 4 	2006	89	90703745	5.1	45000000
Scary Movie 5 	2013	88	32014289	3.5	20000000
Schindler's List 	1993	185	96067179	8.9	22000000
School Daze 	1988	121	14545844	5.8	6500000
School for Scoundrels 	2006	108	17803796	5.9	20000000
School of Rock 	2003	108	81257845	7.1	35000000
Scooby-Doo 	2002	86	153288182	4.9	84000000
Scooby-Doo 2: Monsters Unleashed 	2004	93	84185387	4.9	80000000
Scoop 	2006	96	10515579	6.7	4000000
Scott Pilgrim vs. the World 	2010	112	31494270	7.5	60000000
Scott Walker: 30 Century Man 	2006	95		7.3	500000
Scream 	1996	103	103001286	7.2	15000000
Scream 2 	1997	120	101334374	6.1	24000000
Scream 3 	2000	116	89138076	5.5	40000000
Scream 4 	2011	111	38176892	6.2	40000000
Scream: The TV Series             		45		7.3	
Screwed 	2000	81	6982680	5.7	10000000
Scrooged 	1988	101	60328558	7	32000000
Se7en 	1995	127	100125340	8.6	33000000
Sea of Love 	1989	113	58571513	6.8	19000000
Sea Rex 3D: Journey to a Prehistoric World 	2010	41	4074023	6.9	5000000
Seabiscuit 	2003	140	120147445	7.3	87000000
Secondhand Lions 	2003	111	41407470	7.6	30000000
Secret in Their Eyes 	2015	111		6.2	19500000
Secret Window 	2004	96	47781388	6.6	40000000
Secretariat 	2010	123	59699513	7.2	35000000
Secretary 	2002	104	4046737	7.1	4000000
Secrets and Lies             		43		7.7	
See Spot Run 	2001	94	33357476	5.4	35000000
Seed of Chucky 	2004	88	17016190	4.9	12000000
Seeking a Friend for the End of the World 	2012	101	6619173	6.7	10000000
Selena 	1997	127	35422828	6.7	20000000
Self/less 	2015	117	12276810	6.5	26000000
Selma 	2014	128	52066000	7.5	20000000
Semi-Pro 	2008	99	33472850	5.8	55000000
Sense and Sensibility 	1995	136	42700000	7.7	16500000
September Dawn 	2007	111	1066555	5.8	11000000
Serendipity 	2001	82	49968653	6.9	28000000
Serenity 	2005	119	25335935	8	40000000
Serial Mom 	1994	95	7881335	6.7	13000000
Serving Sara 	2002	99	16930185	5.3	29000000
Session 9 	2001	100	373967	6.5	1500000
Set It Off 	1996	123	36049108	6.8	9000000
Seven Pounds 	2008	123	69951824	7.7	55000000
Seven Psychopaths 	2012	110	14989761	7.2	15000000
Seven Samurai 	1954	202	269061	8.7	2000000
Seven Years in Tibet 	1997	136	37901509	7	70000000
Seventh Son 	2014	102	17176900	5.5	95000000
Severance 	2006	90	136432	6.6	5000000
Sex and the City             		30		7	
Sex and the City 2 	2010	146	95328937	4.3	100000000
Sex Drive 	2008	129	8396942	6.5	19000000
Sex Tape 	2014	94	38543473	5.1	40000000
Sex with Strangers 	2002	105	247740	4.7	
"Sex, Lies, and Videotape "	1989	100	24741700	7.2	1200000
Sexy Beast 	2000	89	6940281	7.3	
Sgt. Bilko 	1996	93	30400000	5.7	39000000
Shade 	2003	101	10696	6.4	6800000
Shadow Conspiracy 	1997	103	2154540	4.9	45000000
Shadow of the Vampire 	2000	92	8279017	6.9	8000000
Shadowlands 	1993	115	25842000	7.4	22000000
Shaft 	2000	99	70327868	5.9	46000000
Shakespeare in Love 	1998	123	100241322	7.2	25000000
Shalako 	1968	113		5.5	1455000
Shall We Dance 	2004	106	57887882	6.1	50000000
Shallow Hal 	2001	114	70836296	5.9	40000000
Shame 	2011	101	4000304	7.3	6500000
Shanghai Calling 	2012	100	10443	6.3	
Shanghai Knights 	2003	114	60470220	6.2	50000000
Shanghai Noon 	2000	110	56932305	6.6	55000000
Shanghai Surprise 	1986	97	2315683	3	17000000
Shaolin Soccer 	2001	85	488872	7.3	10000000
Shark Lake 	2015	92		3.4	2000000
Shark Night 3D 	2011	90	18860403	4	25000000
Shark Tale 	2004	90	160762022	6	75000000
Sharknado 	2013	97		3.3	1000000
Sharkskin 	2015	100		6.7	2100000
Shattered 	2007	98		6.7	20000000
Shattered Glass 	2003	99	2207975	7.2	6000000
Shaun of the Dead 	2004	99	13464388	8	4000000
Shaun the Sheep             		7		8.3	
She Done Him Wrong 	1933	66		6.5	200000
She Wore a Yellow Ribbon 	1949	103		7.4	1600000
Sheena 	1984	117		4.8	25000000
Sherlock Holmes 	2009	128	209019489	7.6	90000000
Sherlock Holmes: A Game of Shadows 	2011	129	186830669	7.5	125000000
Sherrybaby 	2006	96	198407	6.6	2000000
She's All That 	1999	95	63319509	5.8	10000000
She's Gotta Have It 	1986	88	7137502	6.5	175000
She's Out of My League 	2010	104	31584722	6.4	20000000
She's the Man 	2006	105	33687630	6.4	20000000
She's the One 	1996	96	9449219	6.1	3500000
Shine 	1996	105	35811509	7.7	5500000
Shine a Light 	2008	122	5355376	7.2	
Shinjuku Incident 	2009	119		7.1	15000000
Shipwrecked 	1990	92		6.7	60000000
Sholem Aleichem: Laughing in the Darkness 	2011	93	906666	6.8	500000
Shooter 	2007	124	46975183	7.2	61000000
Shooting Fish 	1997	99	302204	6.6	3000000
Shooting the Warwicks 	2015	95		6.2	250000
Shopgirl 	2005	106	10281585	6.4	
Short Cut to Nirvana: Kumbh Mela 	2004	85	381225	7.2	200000
Shortbus 	2006	101	1984378	6.5	2000000
