movie,Origin,From
Julia,USA,English
Julie & Julia,USA,English
Julija in alfa Romeo,Slovenia,Slovenian
Jumper,USA,English
Jumping the Broom,USA,English
Jungle Shuffle,South Korea,English
Juno,USA,English
Juno,USA,English
Jupiter Ascending,USA,English
Jurassic Park,USA,English
Jurassic Park III,USA,English
Jurassic World,USA,English
Just Go with It,USA,English
Just Like Heaven,USA,English
Just Looking,USA,English
Just Married,USA,English
Just My Luck,USA,English
Just Visiting,France,English
Just Wright,USA,English
Justin Bieber: Never Say Never,USA,English
Juwanna Mann,USA,English
K-19: The Widowmaker,UK,English
Kabhi Alvida Naa Kehna,India,Hindi
Kama Sutra: A Tale of Love,USA,English
Kangaroo Jack,USA,English
Kansas City,France,English
Karachi se Lahore,Pakistan,Urdu
Kate & Leopold,USA,English
Katy Perry: Part of Me,USA,English
Keanu,USA,English
Keeping the Faith,USA,English
Keeping Up with the Steins,USA,English
Kevin Hart: Laugh at My Pain,USA,English
Kevin Hart: Let Me Explain,USA,English
Khiladi 786,India,Hindi
Khumba,South Africa,English
Kick-Ass,UK,English
Kick-Ass 2,USA,English
Kicking & Screaming,USA,English
Kicks,USA,English
Kids,USA,English
Kill Bill: Vol. 1,USA,English
Kill Bill: Vol. 2,USA,English
Kill List,UK,English
Kill the Messenger,USA,English
Killer Elite,UK,English
Killer Joe,USA,English
Killers,USA,English
Killing Them Softly,USA,English
Killing Zoe,France,English
Kindergarten Cop,USA,English
King Kong,New Zealand,English
King Kong,New Zealand,English
King Kong,New Zealand,English
Kingdom of Heaven,USA,English
Kingdom of the Spiders,USA,English
Kingpin,USA,English
King's Ransom,USA,English
Kinsey,USA,English
Kiss Kiss Bang Bang,USA,English
Kiss of Death,USA,English
Kiss of the Dragon,France,English
Kiss the Bride,USA,English
Kiss the Girls,USA,English
Kissing Jessica Stein,USA,English
Kit Kittredge: An American Girl,USA,English
Kites,India,English
Knight and Day,USA,English
Knock Off,Aruba,English
Knockaround Guys,USA,English
Knocked Up,USA,English
Knowing,USA,English
K-PAX,USA,English
Krampus,USA,English
Krrish,India,Hindi
Krull,UK,English
Krush Groove,USA,English
Kundun,USA,English
Kung Fu Hustle,Hong Kong,Cantonese
Kung Fu Killer,China,Cantonese
Kung Fu Panda,USA,English
Kung Fu Panda 2,USA,English
Kung Fu Panda 3,USA,English
Kung Pow: Enter the Fist,USA,English
L!fe Happens,USA,English
L.A. Confidential,USA,English
L.I.E.,USA,English
La Bamba,USA,English
La Famille B lier,France,French
La otra conquista,Mexico,Spanish
Labor Day,USA,English
Ladder 49,USA,English
Lady in the Water,USA,English
Lady in White,USA,English
Lady Vengeance,South Korea,Korean
Ladyhawke,USA,English
Lage Raho Munna Bhai,India,Hindi
Lake Mungo,Australia,English
Lake of Fire,USA,English
Lake Placid,USA,English
Lakeview Terrace,USA,English
Land of the Dead,Canada,English
Land of the Lost,USA,English
Lara Croft Tomb Raider: The Cradle of Life,USA,English
Lara Croft: Tomb Raider,USA,English
Larry Crowne,USA,English
Larry the Cable Guy: Health Inspector,USA,English
Lars and the Real Girl,USA,English
Last Action Hero,USA,English
Last Holiday,USA,English
Last Man Standing,USA,English
Last Orders,UK,English
Last Vegas,USA,English
Latter Days,USA,English
L'auberge espagnole,France,French
Law Abiding Citizen,USA,English
Lawrence of Arabia,UK,English
Laws of Attraction,Ireland,English
Layer Cake,UK,English
Le Havre,Finland,French
Leap Year,USA,English
Leatherheads,USA,English
Leaving Las Vegas,USA,English
Lee Daniels' The Butler,USA,English
Left Behind,USA,English
Left Behind,USA,English
Legal Eagles,USA,English
Legally Blonde,USA,English
"Legally Blonde 2: Red, White & Blonde",USA,English
Legend,UK,English
Legend of Kung Fu Rabbit,China,Mandarin
Legend of the Guardians: The Owls of Ga'Hoole,USA,English
Legends of Oz: Dorothy's Return,USA,English
Legends of the Fall,USA,English
Legion,USA,English
Les couloirs du temps: Les visiteurs II,France,French
Les Mis rables,USA,English
Les visiteurs,France,French
Let Me In,UK,English
Lethal Weapon 3,USA,English
Lethal Weapon 4,USA,English
Let's Be Cops,USA,English
Let's Go to Prison,USA,English
Let's Kill Ward's Wife,USA,English
Letters from Iwo Jima,USA,Japanese
Letters to God,USA,English
Letters to Juliet,USA,English
Liar Liar,USA,English
Licence to Kill,UK,English
License to Wed,USA,English
Lies in Plain Sight,USA,English
Life,USA,English
Life as a House,USA,English
Life During Wartime,USA,English
Life of Pi,USA,English
Life or Something Like It,USA,English
Lifeforce,UK,English
Light from the Darkroom,USA,English
Light It Up,USA,English
Light Sleeper,USA,English
Lights Out,USA,English
Like Crazy,USA,English
Like Mike,USA,English
Lilo & Stitch,USA,English
Lilya 4-Ever,Sweden,Russian
Lilyhammer,Norway,English
Limbo,USA,English
Limitless,USA,English
Lincoln,USA,English
Lion of the Desert,Libya,English
Lions for Lambs,USA,English
Lisa Picard Is Famous,USA,English
Listening,Cambodia,English
Little Big Top,USA,English
Little Black Book,USA,English
Little Boy,Mexico,English
Little Children,USA,English
Little Fockers,USA,English
Little Miss Sunshine,USA,English
Little Nicholas,France,French
Little Nicky,USA,English
Little Shop of Horrors,USA,English
Little Voice,UK,English
Little White Lies,France,French
Little Women,USA,English
Littleman,USA,English
Live and Let Die,UK,English
Live Free or Die Hard,USA,English
Live-In Maid,Argentina,Spanish
Living Dark: The Story of Ted the Caver,USA,English
Living Out Loud,USA,English
Loaded Weapon 1,USA,English
"Lock, Stock and Two Smoking Barrels",UK,English
Locker 13,USA,English
Lockout,France,English
Logan's Run,USA,English
LOL,USA,English
Lolita,UK,English
Lolita,UK,English
London,UK,English
London Has Fallen,UK,English
London to Brighton,UK,English
Lone Star,USA,English
Lone Survivor,USA,English
Lone Wolf McQuade,USA,English
Lonesome Jim,USA,English
Looney Tunes: Back in Action,Germany,English
Looper,USA,English
Loose Cannons,Italy,Italian
Lord of War,USA,English
Lords of Dogtown,USA,English
Lords of London,UK,English
Loser,USA,English
Losin' It,Canada,English
Lost in Space,USA,English
Lost in Translation,USA,English
Lost Souls,USA,English
Lottery Ticket,USA,English
Love & Basketball,USA,English
Love & Other Drugs,USA,English
Love Actually,UK,English
Love and Death on Long Island,UK,English
Love and Other Catastrophes,Australia,English
Love Happens,USA,English
Love in the Time of Cholera,USA,English
Love in the Time of Monsters,USA,English
Love Jones,USA,English
Love Letters,USA,English
Love Me Tender,USA,English
Love Ranch,USA,English
Love Stinks,USA,English
Love the Coopers,USA,English
Lovely & Amazing,USA,English
"Lovely, Still",USA,English
Lovesick,UK,English
Loving Annabelle,USA,English
Lucky Break,UK,English
Lucky Number Slevin,Germany,English
Lucky Number Slevin,Germany,English
Lucky Numbers,France,English
Lucky You,USA,English
Lucy,France,English
Luminarias,USA,English
Luther,UK,English
M*A*S*H,USA,English
MacGruber,USA,English
Machete,USA,English
Machete Kills,Russia,English
Machine Gun McCain,Italy,English
Machine Gun Preacher,USA,English
Mad City,USA,English
Mad Hot Ballroom,USA,English
Mad Max,Australia,English
Mad Max 2: The Road Warrior,Australia,English
Mad Max Beyond Thunderdome,Australia,English
Mad Max: Fury Road,Australia,English
Mad Money,USA,English
Madadayo,Japan,Japanese
Madagascar,USA,English
Madagascar 3: Europe's Most Wanted,USA,English
Madagascar: Escape 2 Africa,USA,English
Made,USA,English
Made in Dagenham,UK,English
Made of Honor,USA,English
Madea Goes to Jail,USA,English
Madea's Family Reunion,USA,English
Madea's Witness Protection,USA,English
Madison,USA,English
Maggie,USA,English
Magic Mike,USA,English
Magic Mike XXL,USA,English
Magnolia,USA,English
Maid in Manhattan,USA,English
Major Dundee,USA,English
Major League,USA,English
Malcolm X,USA,English
Maleficent,USA,English
Malevolence,USA,English
Malibu's Most Wanted,USA,English
Mallrats,USA,English
Malone,USA,English
Mama,Canada,English
Mambo Italiano,Canada,English
Mamma Mia!,USA,English
Man of Steel,USA,English
Man of the House,USA,English
Man of the Year,USA,English
Man on a Ledge,USA,English
Man on Fire,USA,English
Man on the Moon,UK,English
Man on Wire,UK,English
Mandela: Long Walk to Freedom,UK,English
Manderlay,Denmark,English
Maniac,France,English
Manito,USA,English
Mao's Last Dancer,Australia,English
March of the Penguins,France,French
March or Die,UK,English
Marci X,USA,English
Margaret,USA,English
Margin Call,USA,English
Maria Full of Grace,Colombia,Spanish
Marie Antoinette,USA,English
Marilyn Hotchkiss' Ballroom Dancing and Charm School,USA,English
Marley & Me,USA,English
Marmaduke,USA,English
Married Life,USA,English
Mars Attacks!,USA,English
Mars Needs Moms,USA,English
Martha Marcy May Marlene,USA,English
Martian Child,USA,English
Martin Lawrence Live: Runteldat,USA,English
Marvin's Room,USA,English
Mary Poppins,USA,English
Mary Reilly,USA,English
Masked and Anonymous,USA,English
Master and Commander: The Far Side of the World,USA,English
Match Point,UK,English
Maurice,UK,English
Max,USA,English
Max Keeble's Big Move,USA,English
Max Payne,Canada,English
Maximum Risk,USA,English
May,USA,English
"McFarland, USA",USA,English
McHale's Navy,USA,English
Me and Orson Welles,UK,English
Me and You and Everyone We Know,USA,English
Me Before You,UK,English
Me You and Five Bucks,USA,English
"Me, Myself & Irene",USA,English
Mean Creek,USA,English
Mean Girls,USA,English
Mean Machine,UK,English
Mean Streets,USA,English
Medicine Man,USA,English
Meek's Cutoff,USA,English
Meet Dave,USA,English
Meet Joe Black,USA,English
Meet the Browns,USA,English
Meet the Deedles,USA,English
Meet the Fockers,USA,English
Meet the Parents,USA,English
Meet the Spartans,USA,English
Megaforce,USA,English
Megamind,USA,English
Megiddo: The Omega Code 2,USA,English
Melancholia,Denmark,English
Memento,USA,English
Memoirs of a Geisha,USA,English
Memoirs of an Invisible Man,USA,English
Men in Black,USA,English
Men in Black 3,USA,English
Men in Black II,USA,English
Men of Honor,USA,English
Men of War,USA,English
Men with Brooms,Canada,English
Menace II Society,USA,English
Mercury Rising,USA,English
Mercury Rising,USA,English
Mercy Streets,USA,English
Message in a Bottle,USA,English
Metallica Through the Never,USA,English
Meteor,USA,English
Metropolis,Germany,German
Metropolitan,USA,English
Mi America,USA,English
Miami Vice,USA,English
Michael Clayton,USA,English
Michael Collins,UK,English
Michael Jordan to the Max,USA,English
Mickey Blue Eyes,UK,English
Micmacs,France,French
Middle of Nowhere,USA,English
Midnight Cabaret,USA,English
Midnight Cowboy,USA,English
Midnight in Paris,Spain,English
Midnight in the Garden of Good and Evil,USA,English
Midnight Run,USA,English
Midnight Special,Greece,English
Mighty Joe Young,USA,English
Milk,USA,English
Million Dollar Arm,USA,English
Million Dollar Baby,USA,English
Mindhunters,USA,English
Minions,USA,English
Minority Report,USA,English
Miracle,USA,English
Miracle at St. Anna,USA,English
Miracles from Heaven,USA,English
Mirror Mirror,USA,English
Mirrormask,UK,English
Mirrors,USA,English
Misconduct,USA,English
Miss Congeniality,USA,English
Miss Congeniality 2: Armed and Fabulous,USA,English
Miss Julie,Norway,English
Miss March,USA,English
Miss Potter,UK,English
Mission to Mars,USA,English
Mission: Impossible,USA,English
Mission: Impossible - Ghost Protocol,USA,English
Mission: Impossible - Rogue Nation,China,English
Mission: Impossible II,USA,English
Mission: Impossible III,USA,English
Mississippi Mermaid,France,French
Mo' Better Blues,USA,English
Moby Dick,USA,English
Modern Problems,USA,English
Modern Times,USA,English
Moli re,France,French
Molly,USA,English
Mommie Dearest,USA,English
Moms' Night Out,USA,English
Mona Lisa Smile,USA,English
Mondays in the Sun,Spain,Spanish
Money Monster,USA,English
Money Talks,USA,English
Money Train,USA,English
Moneyball,USA,English
Mongol: The Rise of Genghis Khan,Russia,Mongolian
Monkeybone,USA,English
Monsoon Wedding,India,Hindi
Monster,USA,English
Monster House,USA,English
Monster-in-Law,Germany,English
Monsters,UK,English
Monster's Ball,USA,English
Monsters University,USA,English
Monsters vs. Aliens,USA,English
"Monsters, Inc.",USA,English
Monte Carlo,Hungary,English
Monty Python and the Holy Grail,UK,English
Moon,UK,English
Moonlight Mile,USA,English
Moonraker,UK,English
Moonrise Kingdom,USA,English
Mooz-Lum,USA,English
Morning Glory,USA,English
Mortal Kombat,USA,English
Mortal Kombat: Annihilation,USA,English
Mortdecai,UK,English
Morvern Callar,UK,English
Mother and Child,USA,English
Motherhood,USA,English
Moulin Rouge!,USA,English
Movie 43,USA,English
Mozart's Sister,France,French
Mr 3000,USA,English
Mr. & Mrs. Smith,USA,English
Mr. Bean's Holiday,UK,English
Mr. Church,USA,English
Mr. Deeds,USA,English
Mr. Holland's Opus,USA,English
Mr. Nice Guy,Hong Kong,English
Mr. Peabody & Sherman,USA,English
Mr. Popper's Penguins,USA,English
Mr. Smith Goes to Washington,USA,English
Mr. Turner,UK,English
Mrs Henderson Presents,UK,English
Mrs. Doubtfire,USA,English
Mrs. Winterbourne,USA,English
Much Ado About Nothing,UK,English
Mud,USA,English
Mulan,USA,English
Mulholland Drive,France,English
Multiplicity,USA,English
Mumford,USA,English
Munich,France,English
Muppets from Space,USA,English
Muppets Most Wanted,USA,English
Murder by Numbers,USA,English
Murder by Numbers,USA,English
Murderball,USA,English
Music and Lyrics,USA,English
Must Love Dogs,USA,English
Mutant World,Canada,English
Mutual Appreciation,USA,English
Mutual Friends,USA,English
My Baby's Daddy,USA,English
My Beautiful Laundrette,UK,English
My Best Friend's Girl,USA,English
My Best Friend's Wedding,USA,English
My Big Fat Greek Wedding,USA,English
My Big Fat Greek Wedding 2,USA,English
My Big Fat Independent Movie,USA,English
My Bloody Valentine,USA,English
My Blueberry Nights,Hong Kong,English
My Boss's Daughter,USA,English
My Cousin Vinny,USA,English
My Date with Drew,USA,English
My Dog Skip,USA,English
My Dog Tulip,USA,English
My Fair Lady,USA,English
My Favorite Martian,USA,English
My Fellow Americans,USA,English
My Girl,USA,English
My Last Day Without You,USA,English
My Life in Ruins,USA,English
My Life Without Me,Spain,English
My Lucky Star,China,Chinese
My Name Is Bruce,USA,English
My Name Is Khan,India,Hindi
My Own Private Idaho,USA,English
My Sister's Keeper,USA,English
My Soul to Take,USA,English
My Soul to Take,USA,English
My Stepmother Is an Alien,USA,English
My Summer of Love,UK,English
My Super Ex-Girlfriend,USA,English
My Week with Marilyn,UK,English
Mystery Men,USA,English
"Mystery, Alaska",Canada,English
Mystic Pizza,USA,English
Mystic River,USA,English
Nacho Libre,Germany,English
Naked Gun 33 1/3: The Final Insult,USA,English
Namastey London,India,Hindi
Nancy Drew,USA,English
Nanny McPhee,USA,English
Nanny McPhee Returns,UK,English
Napoleon Dynamite,USA,English
Narc,USA,English
National Lampoon's Vacation,USA,English
National Treasure,USA,English
Naturally Native,USA,English
Navy Seals vs. Zombies,USA,English
Neal 'N' Nikki,India,English
Nebraska,USA,English
Need for Speed,USA,English
Neighbors,USA,English
Neighbors 2: Sorority Rising,USA,English
Nerve,USA,English
Network,USA,English
Never Again,USA,English
Never Back Down,USA,English
Never Back Down 2: The Beatdown,USA,English
Never Let Me Go,UK,English
Never Say Never Again,UK,English
New in Town,USA,English
New Nightmare,USA,English
New Year's Eve,USA,English
New York Minute,USA,English
New York Stories,USA,English
"New York, New York",USA,English
Newlyweds,USA,English
Next Day Air,USA,English
Next Friday,USA,English
Next Stop Wonderland,USA,English
Niagara,USA,English
Nicholas Nickleby,UK,English
Nick and Norah's Infinite Playlist,USA,English
Night at the Museum,USA,English
Night at the Museum: Battle of the Smithsonian,USA,English
Night at the Museum: Secret of the Tomb,USA,English
Night of the Living Dead,USA,English
Night of the Living Dead,USA,English
Night Watch,Russia,Russian
Nightcrawler,USA,English
Nighthawks,USA,English
Nikita,USA,English
Nim's Island,USA,English
Nine,USA,English
Nine Dead,USA,English
Nine Queens,Argentina,Spanish
Ninja Assassin,USA,English
Nixon,USA,English
No Country for Old Men,USA,English
No End in Sight,USA,English
No Escape,USA,English
No Good Deed,USA,English
No Man's Land: The Rise of Reeker,USA,English
No Reservations,USA,English
No Strings Attached,USA,English
No Vacancy,USA,English
Noah,USA,English
Nomad: The Warrior,France,Kazakh
Non-Stop,UK,English
North Country,USA,English
Northfork,USA,English
Not Another Teen Movie,USA,English
Not Cool,USA,English
Not Easily Broken,USA,English
Notes on a Scandal,UK,English
Nothing,Canada,English
Nothing But a Man,USA,English
Nothing to Lose,USA,English
Notting Hill,UK,English
November,USA,English
Novocaine,USA,English
Now Is Good,UK,English
Now You See Me,USA,English
Now You See Me 2,USA,English
Nowhere Boy,UK,English
Nowhere in Africa,Germany,English
Nowhere to Run,USA,English
N-Secure,USA,English
Nurse 3D,USA,English
Nurse Betty,Germany,English
Nutty Professor II: The Klumps,USA,English
O,USA,English
O,USA,English
"O Brother, Where Art Thou",UK,English
Obitaemyy ostrov,Russia,Russian
Oblivion,USA,English
Observe and Report,USA,English
Obvious Child,USA,English
Oceans,France,French
Ocean's Eleven,USA,English
Ocean's Thirteen,USA,English
Ocean's Twelve,USA,English
October Baby,USA,English
Octopussy,UK,English
Oculus,USA,English
Of Gods and Men,France,French
Of Horses and Men,Iceland,Icelandic
Office Space,USA,English
Old Dogs,USA,English
Old Joy,USA,English
Old School,USA,English
Oldboy,South Korea,Korean
Oliver Twist,UK,English
Oliver!,UK,English
Olympus Has Fallen,USA,English
On Deadly Ground,USA,English
On Her Majesty's Secret Service,UK,English
On the Downlow,USA,English
On the Line,USA,English
On the Outs,USA,English
On the Road,France,English
On the Waterfront,USA,English
Once,Ireland,English
Once in a Lifetime: The Extraordinary Story of the New York Cosmos,UK,English
Once Upon a Time in America,Italy,English
Once Upon a Time in Mexico,USA,English
Once Upon a Time in Queens,USA,English
Once Upon a Time in the West,Italy,English
Ondine,Ireland,English
One Day,USA,English
One Direction: This Is Us,USA,English
One Flew Over the Cuckoo's Nest,USA,English
One for the Money,USA,English
One Hour Photo,USA,English
One Man's Hero,Spain,English
One Missed Call,Japan,English
One Night with the King,USA,English
One to Another,France,French
One True Thing,USA,English
Ong-bak 2,Thailand,Thai
Only God Forgives,Denmark,English
Only the Strong,USA,English
Opal Dream,Australia,English
Open Range,USA,English
Open Road,Brazil,English
Open Season,USA,English
Open Secret,USA,English
Open Water,USA,English
Operation Chromite,South Korea,English
Ordet,Denmark,Danish
Ordinary People,USA,English
Orgazmo,USA,English
Original Sin,France,English
Orphan,USA,English
Osama,Afghanistan,Dari
Oscar and Lucinda,USA,English
Osmosis Jones,USA,English
Ouija,USA,English
Our Brand Is Crisis,USA,English
Our Family Wedding,USA,English
Our Idiot Brother,USA,English
Our Kind of Traitor,UK,English
Out Cold,USA,English
Out of Africa,USA,English
Out of Inferno,China,Chinese
Out of Sight,USA,English
Out of the Blue,Canada,English
Out of the Blue,New Zealand,English
Out of the Dark,USA,English
Out of the Furnace,USA,English
Out of Time,USA,English
Outbreak,USA,English
Outlander,USA,English
Outside Bet,UK,English
Outside Providence,USA,English
Over Her Dead Body,USA,English
Over the Hedge,USA,English
Owning Mahowny,Canada,English
Oz the Great and Powerful,USA,English
Oz the Great and Powerful,USA,English
P.S. I Love You,USA,English
Paa,India,Hindi
Pacific Rim,USA,English
Paddington,UK,English
Pain & Gain,USA,English
Paint Your Wagon,USA,English
Pale Rider,USA,English
Palo Alto,USA,English
Pan,USA,English
Pan,USA,English
Pan,USA,English
Pandaemonium,UK,English
Pandora's Box,Germany,German
Pandorum,Germany,English
Panic Room,USA,English
Pan's Labyrinth,Spain,Spanish
Paparazzi,USA,English
Paper Towns,USA,English
Paranormal Activity,USA,English
Paranormal Activity 2,USA,English
Paranormal Activity 3,USA,English
Paranormal Activity 4,USA,English
Paranormal Activity: The Marked Ones,USA,English
ParaNorman,USA,English
Parental Guidance,USA,English
"Paris, je t'aime",France,French
Parker,USA,English
Partition,Canada,English
Party Monster,USA,English
Passchendaele,Canada,English
Pat Garrett & Billy the Kid,USA,English
Patch Adams,USA,English
Pathology,USA,English
Patriot Games,USA,English
Patton,USA,English
Paul,USA,English
Paul Blart: Mall Cop,USA,English
Paul Blart: Mall Cop 2,USA,English
Pay It Forward,USA,English
Payback,USA,English
Paycheck,USA,English
PCU,USA,English
"Peace, Propaganda & the Promised Land",USA,English
Peaceful Warrior,Germany,English
Pearl Harbor,USA,English
Peeples,USA,English
Peggy Sue Got Married,USA,English
Penguins of Madagascar,USA,English
Penitentiary,USA,English
People I Know,USA,English
Perception,USA,English
Percy Jackson & the Olympians: The Lightning Thief,UK,English
Percy Jackson: Sea of Monsters,USA,English
Perfect Cowboy,USA,English
Perfume: The Story of a Murderer,Germany,English
Perrier's Bounty,Ireland,English
Persepolis,France,French
Pet Sematary,USA,English
Pete's Dragon,USA,English
Phantasm II,USA,English
Phat Girlz,USA,English
Phenomenon,USA,English
Philadelphia,USA,English
Philomena,UK,English
Phone Booth,USA,English
Pi,USA,English
Pieces of April,USA,English
Pierrot le Fou,France,French
Pineapple Express,USA,English
Pink Flamingos,USA,English
Pink Narcissus,USA,English
"Pink Ribbons, Inc.",Canada,English
Pinocchio,USA,English
Piranha 3D,USA,English
Pirate Radio,UK,English
Pirates of the Caribbean: At World's End,USA,English
Pirates of the Caribbean: Dead Man's Chest,USA,English
Pirates of the Caribbean: On Stranger Tides,USA,English
Pirates of the Caribbean: The Curse of the Black Pearl,USA,English
Pitch Black,USA,English
Pitch Perfect,USA,English
Pitch Perfect 2,USA,English
Pixels,USA,English
Planet 51,Spain,English
Planet of the Apes,USA,English
Planet of the Apes,USA,English
Plastic,UK,English
Platoon,UK,English
Play It to the Bone,USA,English
Playing for Keeps,USA,English
Please Give,USA,English
Plush,USA,English
Pocahontas,USA,English
Pocketful of Miracles,USA,English
Poetic Justice,USA,English
Point Blank,USA,English
Point Break,USA,English
Point Break,USA,English
Pok mon 3: The Movie,Japan,Japanese
Police Academy,USA,English
Police Academy: Mission to Moscow,USA,English
Polisse,France,French
Pollock,USA,English
Poltergeist,USA,English
Poltergeist,USA,English
Poltergeist III,USA,English
Pompeii,Canada,English
Pontypool,Canada,English
Ponyo,Japan,Japanese
Pooh's Heffalump Movie,USA,English
Poolhall Junkies,USA,English
Pootie Tang,USA,English
Porky's,Canada,English
Poseidon,USA,English
Post Grad,USA,English
Poultrygeist: Night of the Chicken Dead,USA,English
Pound of Flesh,Canada,English
Practical Magic,USA,English
Precious,USA,English
Precious,USA,English
Predator,USA,English
Predator 2,USA,English
Predators,USA,English
Prefontaine,USA,English
Premium Rush,USA,English
Premonition,USA,English
Pretty Woman,USA,English
Pride & Prejudice,France,English
Pride and Glory,USA,English
Pride and Prejudice and Zombies,USA,English
Priest,USA,English
Primary Colors,France,English
Primer,USA,English
Prince of Persia: The Sands of Time,USA,English
Princess Kaiulani,USA,English
Princess Mononoke,Japan,Japanese
Prison,USA,English
Prisoners,USA,English
Private Benjamin,USA,English
Project Almanac,USA,English
Project X,USA,English
Prom,USA,English
Prom Night,USA,English
Prometheus,USA,English
Promised Land,USA,English
Proof of Life,USA,English
Prophecy,USA,English
Proud,USA,English
Psych,USA,English
Psycho,USA,English
Psycho Beach Party,Australia,English
Public Enemies,USA,English
Pulp Fiction,USA,English
Pulse,USA,English
Punch-Drunk Love,USA,English
Punisher: War Zone,USA,English
Purple Violets,USA,English
Pushing Tin,USA,English
Puss in Boots,USA,English
Q,France,French
Quantum of Solace,UK,English
Quarantine,USA,English
Quartet,UK,English
Queen Crab,USA,English
Queen of the Damned,USA,English
Queen of the Mountains,Kyrgyzstan,English
Quest for Fire,Canada,None
Quigley Down Under,Australia,English
Quills,UK,English
Quincea era,USA,Spanish
Quo Vadis,USA,English
R.I.P.D.,USA,English
R.L. Stine's Monsterville: The Cabinet of Souls,USA,English
R100,Japan,Japanese
Rabbit Hole,USA,English
Rabbit-Proof Fence,Australia,Aboriginal
Race,Canada,English
Race to Witch Mountain,USA,English
Rachel Getting Married,USA,English
Racing Stripes,USA,English
Radio,USA,English
Radio Days,USA,English
Radio Flyer,USA,English
Raging Bull,USA,English
Raiders of the Lost Ark,USA,English
Rain Man,USA,English
Raise the Titanic,UK,English
Raise Your Voice,USA,English
Raising Cain,USA,English
Raising Helen,USA,English
Raising Victor Vargas,France,English
Ramanujan,India,English
Rambo III,USA,English
Rambo: First Blood Part II,USA,English
Ramona and Beezus,USA,English
Rampage,Canada,English
Random Hearts,USA,English
Rang De Basanti,India,Hindi
Rango,USA,English
Ransom,USA,English
Rapa Nui,USA,English
Rat Race,Canada,English
Ratatouille,USA,English
Ravenous,Czech Republic,English
Ray,USA,English
Raymond Did It,USA,English
Ready to Rumble,USA,English
Real Steel,USA,English
Real Women Have Curves,USA,English
Rebecca,USA,English
Recess: School's Out,USA,English
RED,USA,English
RED 2,USA,English
Red Cliff,China,Mandarin
Red Dawn,USA,English
Red Dog,Australia,English
Red Dragon,Germany,English
Red Eye,USA,English
Red Lights,Spain,English
Red Planet,USA,English
Red Riding Hood,USA,English
Red Riding: In the Year of Our Lord 1974,UK,English
Red River,USA,English
Red Sky,USA,English
Red Sonja,Netherlands,English
Red State,USA,English
Red Tails,USA,English
Redacted,USA,English
Redbelt,USA,English
Redemption Road,USA,English
Reds,USA,English
Regression,Spain,English
Reign of Assassins,China,Mandarin
Reign of Fire,USA,English
Reign Over Me,USA,English
Reindeer Games,USA,English
Re-Kill,USA,English
Religulous,USA,English
Remember Me,USA,English
"Remember Me, My Love",Italy,Italian
Remember the Titans,USA,English
Renaissance,France,English
Renaissance Man,USA,English
Rendition,USA,English
Reno 911!: Miami,USA,English
Rent,USA,English
Repo Man,USA,English
Repo Men,USA,English
Repo! The Genetic Opera,USA,English
Requiem for a Dream,USA,English
Rescue Dawn,USA,English
Reservoir Dogs,USA,English
Resident Evil,UK,English
Resident Evil: Afterlife,Germany,English
Resident Evil: Apocalypse,Germany,English
Resident Evil: Extinction,France,English
Resident Evil: Retribution,Germany,English
Restless,UK,English
Restoration,USA,English
Resurrecting the Champ,USA,English
Return of the Living Dead III,USA,English
Return to Me,USA,English
Return to Never Land,USA,English
Return to Oz,UK,English
Return to the Blue Lagoon,USA,English
Revolution,USA,English
Revolutionary Road,USA,English
Ri hie Ri h,USA,English
Richard III,UK,English
Riddick,USA,English
Ride Along,USA,English
Ride Along 2,USA,English
Ride with the Devil,USA,English
Riding Giants,USA,English
Riding in Cars with Boys,USA,English
Righteous Kill,USA,English
Rio,USA,English
Rio 2,USA,English
Ripley's Game,Italy,English
Rise of the Entrepreneur: The Search for a Better Way,USA,English
Rise of the Guardians,USA,English
Rise of the Planet of the Apes,USA,English
Risen,USA,English
River's Edge,USA,English
Rize,USA,English
Road Hard,USA,English
Road House,USA,English
Road to Perdition,USA,English
Road Trip,USA,English
Roadside,USA,English
Roadside Romeo,India,Hindi
Roar,USA,English
Rob Roy,USA,English
Robin and Marian,USA,English
Robin Hood,USA,English
Robin Hood: Prince of Thieves,USA,English
RoboCop,USA,English
RoboCop,USA,English
RoboCop 3,USA,English
Robot & Frank,USA,English
Robot Chicken,USA,English
Robots,USA,English
Rock of Ages,USA,English
Rock Star,USA,English
Rockaway,USA,English
Rocket Singh: Salesman of the Year,India,Hindi
RocknRolla,UK,English
Rocky,USA,English
Rocky Balboa,USA,English
Rodeo Girl,USA,English
Roger & Me,USA,English
Rogue,USA,English
Role Models,Germany,English
Roll Bounce,USA,English
Rollerball,USA,English
Romance & Cigarettes,USA,English
Romantic Schemer,USA,English
Romeo + Juliet,USA,English
Romeo Is Bleeding,UK,English
Romeo Must Die,USA,English
Ronin,UK,English
Room,Ireland,English
Rosemary's Baby,USA,English
Rosewater,USA,English
Rotor DR1,USA,English
Rounders,USA,English
Royal Kill,USA,English
Rubber,France,English
Ruby in Paradise,USA,English
Rudderless,USA,English
Rugrats Go Wild,USA,English
Rugrats in Paris: The Movie,Germany,English
Rules of Engagement,USA,English
Rumble in the Bronx,Hong Kong,Cantonese
Run All Night,USA,English
Run Lola Run,Germany,German
"Run, Fatboy, Run",UK,English
"Run, Hide, Die",USA,English
Runaway Bride,USA,English
